year,name_last,name_first,team,position,salary,years,total_value,avg_annual
2023,Bumgarner,Madison,Arizona,LHP,21882892,5 (2020-24),85000000.0,17000000.0
2023,Marte,Ketel,Arizona,2B,11600000,5 (2023-28),76000000.0,15200000.0
2023,Ahmed,Nick,Arizona,SS,10375000,4 (2020-23),32500000.0,8125000.0
2023,Kelly,Merrill,Arizona,RHP,8500000,2 (2023-24),18000000.0,9000000.0
2023,Walker,Christian,Arizona,1B,6500000,,,
2023,Melancon,Mark*,Arizona,RHP,6000000,2 (2022-23),14000000.0,7000000.0
2023,Gallen,Zac,Arizona,RHP,5600000,,,
2023,Chafin,Andrew,Arizona,LHP,5500000,,,
2023,Gurriel,Lourdes,Arizona,OF,5400000,7 (2017-23),22000000.0,3142857.1429
2023,Davies,Zac,Arizona,RHP,4700000,,,
2023,Kelly,Carson*,Arizona,C,4275000,,,
2023,Longoria,Evan,Arizona,3B,4000000,,,
2023,Castro,Miguel,Arizona,RHP,3500000,,,
2023,Rojas,Josh,Arizona,2B,2575000,,,
2023,McGough,Scott,Arizona,RHP,2500000,2 (2023-24),6250000.0,3125000.0
2023,Carroll,Corbin,Arizona,OF,1625000,8 (2023-31),111000000.0,13875000.0
2023,Lewis,Kyle,Arizona,OF,1610000,,,
2023,Sulser,Cole,Arizona,RHP,825000,,,
2023,Mantiply,Joe*,Arizona,LHP,756000,,,
2023,Ginkel,Kevin,Arizona,RHP,746600,,,
2023,Perdomo,Geraldo,Arizona,SS,738600,,,
2023,McCarthy,Jake,Arizona,OF,735600,,,
2023,Thomas,Alek,Arizona,OF,735200,,,
2023,Nelson,Kyle,Arizona,LHP,728900,,,
2023,Martin,Corbin*,Arizona,RHP,728400,,,
2023,Herrera,Jose,Arizona,C,724300,,,
2023,Jameson,Drey,Arizona,RHP,723600,,,
2023,Nelson,Ryne,Arizona,RHP,722700,,,
2023,Moreno,Gabriel,Arizona,C,722500,,,
2023,Vargas,Carlos,Arizona,RHP,721000,,,
2023,Robinson,Kristian**,Arizona,OF,720000,,,
2023,Olson,Matt,Atlanta,1B,21000000,8 (2022-29),168000000.0,21000000.0
2023,Morton,Charlie,Atlanta,RHP,20000000,,,
2023,Ozuna,Marcell,Atlanta,OF,18000000,4 (2021-24),65000000.0,16250000.0
2023,Acuna,Ronald,Atlanta,OF,17000000,8 (2019-26),100000000.0,12500000.0
2023,Iglesias,Raisel*,Atlanta,RHP,16000000,4 (2022-25),58000000.0,14500000.0
2023,Riley,Austin,Atlanta,3B,15000000,10 (2023-32),212000000.0,21200000.0
2023,Fried,Max,Atlanta,LHP,13500000,,,
2023,Rosario,Eddie,Atlanta,OF,9000000,2 (2022-23),18000000.0,9000000.0
2023,D'Arnaud,Travis,Atlanta,C,8000000,2 (2022-23),16000000.0,8000000.0
