year,name_last,name_first,team,position,salary,years,total_value,avg_annual
2024,Miller,Erik,Giants,LHP,740000,,,
2024,McCann,Kyle,Athletics,C,740000,,,
2024,Roupp,Landen,Giants,RHP,740000,,,
2024,Duarte,Daniel,Twins,RHP,740000,,,
2024,Murphy,Penn,Astros,RHP,740000,,,
2024,Chavez,Jesse,Braves,RHP,740000,,,
2024,Dunn,Oliver,Brewers,INF,740000,,,
2024,Barnhart,Tucker,Diamondbacks,C,740000,,,
2024,Jones,Jared,Pirates,RHP,740000,,,
2024,Langford,Wyatt,Rangers,OF,740000,,,
2024,Shenton,Austin,Rays,3B,740000,,,
2024,Marte,Noelvi,Reds,3B,740000,,,
2024,Leasure,Jordan,White Sox,RHP,740000,,,
2024,Boyle,Joe,Athletics,RHP,740000,,,
2024,Butler,Lawrence,Athletics,OF,740000,,,
2024,Gelof,Zack,Athletics,2B,740000,,,
2024,Hernaiz,Darell,Athletics,INF,740000,,,
2024,Medina,Luis,Athletics,RHP,740000,,,
2024,Miller,Mason,Athletics,RHP,740000,,,
2024,Muller,Kyle,Athletics,LHP,740000,,,
2024,Spence,Mitch,Athletics,RHP,740000,,,
2024,Perdomo,Angel,Braves,LHP,740000,,,
2024,Fernandez,Ryan,Cardinals,RHP,740000,,,
2024,Scott II,Victor,Cardinals,OF,740000,,,
2024,Alexander,Blaze,Diamondbacks,INF,740000,,,
2024,Martinez,Angel,Guardians,INF,740000,,,
2024,Smith,Cade,Guardians,RHP,740000,,,
2024,Nunez,Nasim,Nationals,SS,740000,,,
2024,Kolek,Stephen,Padres,RHP,740000,,,
2024,Merrill,Jackson,Padres,OF,740000,,,
2024,Pauley,Graham,Padres,3B,740000,,,
2024,Coleman,Carson,Rangers,RHP,740000,,,
2024,Mata,Bryan,Red Sox,RHP,740000,,,
2024,Slaten,Justin,Red Sox,RHP,740000,,,
2024,Encarnacion-Strand,Christian,Reds,1B,740000,,,
2024,Molina,Anthony,Rockies,RHP,740000,,,
2024,Sauer,Matt,Royals,RHP,740000,,,
2024,Funderburk,Kody,Twins,LHP,740000,,,
2024,Drohan,Shane,White Sox,LHP,740000,,,
2024,Beeter,Clayton,Yankees,RHP,740000,,,
2024,Rocchio,Brayan,Guardians,SS,740200,,,
2024,Cavalli,Cade,Nationals,RHP,740200,,,
2024,Berroa,Prelander,White Sox,RHP,740350,,,
2024,Shewmake,Braden,White Sox,SS,740350,,,
2024,O'Brien,Riley,Cardinals,RHP,740450,,,
2024,Kilian,Caleb,Cubs,RHP,740500,,,
2024,Little,Luke,Cubs,LHP,740500,,,
2024,Simpson,Josh,Marlins,LHP,740500,,,
2024,Garcia,Deivi,White Sox,RHP,740550,,,
2024,Gaddis,Hunter,Guardians,RHP,740700,,,
2024,Herrin,Tim,Guardians,LHP,740800,,,
2024,Latz,Jacob,Rangers,LHP,741000,,,
2024,Fry,David,Guardians,C,741100,,,
